,source,target
514,Tunne Kelam,Carmen Kas
515,Tunne Kelam,Carmen Kas
516,Tunne Kelam,Carmen Kas
517,Tunne Kelam,Hedvig Maigre
518,Tunne Kelam,Carmen Kas
519,Tunne Kelam,Indrek Laul
520,Hedvig Maigre,Carmen Kas
521,Hedvig Maigre,Rain Tolk
522,Hedvig Maigre,Carmen Kas
523,Hedvig Maigre,Tunne Kelam
524,Hedvig Maigre,Mart Mardisalu
525,Hedvig Maigre,Maarja Tali
526,Hedvig Maigre,Nat King Cole
527,Hedvig Maigre,Carmen Kas
528,Hedvig Maigre,Carmen Kas
529,Hedvig Maigre,Carmen Kas
530,Hedvig Maigre,Tunne Kelam
531,Hedvig Maigre,Tunne Kelam
532,Hedvig Maigre,Carmen Kas
533,Hedvig Maigre,Indrek Laul
534,Hedvig Maigre,Tunne Kelam
535,Tunne Kelam,Carmen Kas
536,Tunne Kelam,Rain Tolk
537,Tunne Kelam,Carmen Kas
538,Tunne Kelam,Mart Mardisalu
539,Tunne Kelam,Maarja Tali
540,Tunne Kelam,Nat King Cole
541,Tunne Kelam,Carmen Kas
542,Tunne Kelam,Carmen Kas
543,Tunne Kelam,Carmen Kas
544,Tunne Kelam,Hedvig Maigre
545,Tunne Kelam,Carmen Kas
546,Tunne Kelam,Indrek Laul
547,Carmen Kas,Rain Tolk
548,Carmen Kas,Tunne Kelam
549,Carmen Kas,Mart Mardisalu
550,Carmen Kas,Maarja Tali
551,Carmen Kas,Nat King Cole
552,Carmen Kas,Tunne Kelam
553,Carmen Kas,Hedvig Maigre
554,Carmen Kas,Tunne Kelam
555,Carmen Kas,Indrek Laul
556,Carmen Kas,Tunne Kelam
557,Indrek Laul,Carmen Kas
558,Indrek Laul,Rain Tolk
559,Indrek Laul,Carmen Kas
560,Indrek Laul,Tunne Kelam
561,Indrek Laul,Mart Mardisalu
562,Indrek Laul,Maarja Tali
563,Indrek Laul,Nat King Cole
564,Indrek Laul,Carmen Kas
565,Indrek Laul,Carmen Kas
566,Indrek Laul,Carmen Kas
567,Indrek Laul,Tunne Kelam
568,Indrek Laul,Hedvig Maigre
569,Indrek Laul,Tunne Kelam
570,Indrek Laul,Carmen Kas
571,Indrek Laul,Tunne Kelam
572,Tunne Kelam,Carmen Kas
573,Tunne Kelam,Rain Tolk
574,Tunne Kelam,Carmen Kas
575,Tunne Kelam,Mart Mardisalu
576,Tunne Kelam,Maarja Tali
577,Tunne Kelam,Nat King Cole
578,Tunne Kelam,Carmen Kas
579,Tunne Kelam,Carmen Kas
580,Tunne Kelam,Carmen Kas
581,Tunne Kelam,Hedvig Maigre
582,Tunne Kelam,Carmen Kas
583,Tunne Kelam,Indrek Laul
584,Sigrid Hartman,Sven Haljan
585,Sigrid Hartman,Sigrid Hartmani
586,Sven Haljan,Sigrid Hartman
587,Sven Haljan,Sigrid Hartmani
588,Sigrid Hartmani,Sigrid Hartman
589,Sigrid Hartmani,Sven Haljan
590,James Bondi,Cathy Gale
591,James Bondi,Rene Zellweger
592,Cathy Gale,James Bondi
593,Cathy Gale,Rene Zellweger
594,Rene Zellweger,James Bondi
595,Rene Zellweger,Cathy Gale
596,Elton John,Michael Flatley
597,Elton John,Mick Jagger
598,Elton John,Paul McCartney
599,Elton John,Rod Stewart
600,Elton John,Tom Jones
601,Elton John,Eva Herzigov
602,Elton John,Robbie Williams
603,Elton John,Antonio Bandera
604,Elton John,Keith Richards
605,Elton John,George Michael
606,Elton John,Jose Carreras
607,Elton John,Anthony Hopkins
608,Michael Flatley,Elton John
609,Michael Flatley,Mick Jagger
610,Michael Flatley,Paul McCartney
611,Michael Flatley,Rod Stewart
612,Michael Flatley,Tom Jones
613,Michael Flatley,Eva Herzigov
614,Michael Flatley,Robbie Williams
615,Michael Flatley,Antonio Bandera
616,Michael Flatley,Keith Richards
617,Michael Flatley,George Michael
618,Michael Flatley,Jose Carreras
619,Michael Flatley,Anthony Hopkins
620,Mick Jagger,Elton John
621,Mick Jagger,Michael Flatley
622,Mick Jagger,Paul McCartney
623,Mick Jagger,Rod Stewart
624,Mick Jagger,Tom Jones
625,Mick Jagger,Eva Herzigov
626,Mick Jagger,Robbie Williams
627,Mick Jagger,Antonio Bandera
628,Mick Jagger,Keith Richards
629,Mick Jagger,George Michael
630,Mick Jagger,Jose Carreras
631,Mick Jagger,Anthony Hopkins
632,Paul McCartney,Elton John
633,Paul McCartney,Michael Flatley
634,Paul McCartney,Mick Jagger
635,Paul McCartney,Rod Stewart
636,Paul McCartney,Tom Jones
637,Paul McCartney,Eva Herzigov
638,Paul McCartney,Robbie Williams
639,Paul McCartney,Antonio Bandera
640,Paul McCartney,Keith Richards
641,Paul McCartney,George Michael
642,Paul McCartney,Jose Carreras
643,Paul McCartney,Anthony Hopkins
644,Rod Stewart,Elton John
645,Rod Stewart,Michael Flatley
646,Rod Stewart,Mick Jagger
647,Rod Stewart,Paul McCartney
648,Rod Stewart,Tom Jones
649,Rod Stewart,Eva Herzigov
650,Rod Stewart,Robbie Williams
651,Rod Stewart,Antonio Bandera
652,Rod Stewart,Keith Richards
653,Rod Stewart,George Michael
654,Rod Stewart,Jose Carreras
655,Rod Stewart,Anthony Hopkins
656,Tom Jones,Elton John
657,Tom Jones,Michael Flatley
658,Tom Jones,Mick Jagger
659,Tom Jones,Paul McCartney
660,Tom Jones,Rod Stewart
